name,score,k
small194.in,9313.53919607959,8
small195.in,31161.03011693571,9
small196.in,129707.49323151434,11
small197.in,88311.27302561837,11
small198.in,402517.3688118974,13
small199.in,131602.49323151435,11
small2.in,147312.01581064696,12
small20.in,60449.27302561837,11
small200.in,131936.41592657616,12
small201.in,97038.49323151434,11
small202.in,274384.01581064693,12
small203.in,402517.3688118974,13
small204.in,161040.49323151435,11
small205.in,127381.90918776828,13
small206.in,272.8281828459045,2
small207.in,2010.7977605132007,6
small208.in,15368.055979582474,9
small209.in,452.70548433642506,3
small21.in,2010.797760513198,6
small210.in,4931.626482909586,8
small211.in,32814.64785724149,9
small212.in,270455.01581064693,12
small213.in,161550.01581064696,12
small214.in,13080.666394513277,8
small215.in,2055.797760513179,6
small216.in,32842.31591025766,10
small217.in,14842.31591025766,10
small218.in,272.8281828459045,2
small219.in,166011.01581064696,12
small22.in,9055.963543848702,8
small220.in,40753.00700880905,10
small221.in,136214.01581064696,12
small222.in,402517.3688118974,13
small223.in,307449.01581064693,12
small224.in,43060.74231768395,10
small225.in,4929.143215233561,6
small226.in,3313.853839147785,7
small227.in,144834.49323151432,11
small228.in,4330.200386104065,8
small229.in,3313.853839147436,7
small23.in,5462.506101865787,8
small230.in,59063.64785724149,9
small231.in,41745.17231084702,9
small232.in,3470.853839147478,7
small233.in,5530.506101865785,8
small234.in,14842.31591025766,10
small235.in,29463.64785724149,9
small236.in,4744.200386104065,8
small237.in,116897.41592657616,12
small238.in,4310.125063845673,7
small239.in,1325.4603010261906,4
small24.in,163187.01581064696,12
small240.in,162170.49323151435,11
small241.in,26305.31591025766,10
small242.in,133306.41592657616,12
small243.in,7929.513041548426,8
small244.in,5462.50610186579,8
small245.in,5498.506101865805,8
small246.in,272.8281828459045,2
small247.in,272.8281828459045,2
small248.in,161836.49323151435,11
small249.in,1219.2493960703473,6
small25.in,21339.04010302284,10
small250.in,160322.90918776827,12
small251.in,25696.369694447538,8
small252.in,116591.48951581027,11
small253.in,95645.48951581027,11
small254.in,2010.7977605132,6
small255.in,37875.55792167092,10
small256.in,272.8281828459045,2
small257.in,241111.01581064696,12
small258.in,272.8281828459045,2
small259.in,3047.304596037192,6
small26.in,129252.49323151434,11
small260.in,268155.01581064693,12
small27.in,162588.97388281234,12
small28.in,132143.49323151435,11
small29.in,161939.49323151432,11
small3.in,384517.3688118974,13
small30.in,150202.01581064696,12
small31.in,5462.506101865787,8
small32.in,92471.14243574018,11
small33.in,402517.3688118974,13
small34.in,174346.9091877683,11
